id,name,price,link,shop,品牌,内存,CPU,销量
10119659685281,LAVRIKOW2025拯救系列新款笔记本电脑大学生者专用高性能轻薄本设计编程商务办公酷睿i9满血独显电竞游戏本 拯救系列/媲美酷睿i9级+独显/电竞款游戏本...,2899.0,https://item.jd.com/10119659685281.html,LAVRIKOW旗舰店,其他,8GB,Intel i9,281
100171883204,ThinkPad国家补贴20%联想ThinkBook 14 2025英特尔酷睿5 220H 16G 1T 2.8K 120Hz高刷屏笔记本电脑,4699.0,https://item.jd.com/100171883204.html,ThinkPad京东自营旗舰店,联想,16GB,其他,204
10093807827966,LENO国行2025新款英特尔i7级17.3英寸超薄笔记本电脑高性能指纹解锁设计商务办公学生轻薄本AI游戏 高配英特尔+16代+窄边17.3寸+护眼抗蓝光 32G运行 1...,1932.0,https://item.jd.com/10093807827966.html,LENO电脑办公旗舰店,其他,32GB,Intel i7,966
10107864998738,LGME拯救系列2025新款笔记本电脑酷睿i9/i7+RTX4060独显高性能金属AI编程设计轻薄本黑悟空电竞游戏本 拯救系列酷睿i9级+独显+指纹解锁+英雄联盟 32G...,2815.0,https://item.jd.com/10107864998738.html,LGME旗舰店,其他,32GB,Intel i7,738
10147667304998,联想拯救者Y7000P 2025补贴 游戏笔记本电脑r Y9000P同性能满血4060可选 14代酷睿i7-14650HX 16G(单根)1T 满血4060丨国家补贴20% 16英寸丨2.5K超清屏,8799.0,https://item.jd.com/10147667304998.html,联想授权电脑专卖店,联想,16GB,Intel i7,998
100165631515,华硕天选6 Pro 酷睿版 国家补贴20% 16英寸游戏本 笔记本电脑(i7-14650HX 16G 1T RTX5070 2.5K)青,9999.0,https://item.jd.com/100165631515.html,华硕京东自营官方旗舰店,华硕,16GB,Intel i7,515
10059629413716,联想Lenovo)二手笔记本电脑小新 Air/pro 13/14/15.6寸 轻薄商务制图办公本 9新顶配四核i7二代16G1TB固态独显12款 .,947.0,https://item.jd.com/10059629413716.html,至上优品二手电脑专营店,联想,16GB,Intel i7,716
10044527344294,女神粉英特尔轻薄笔记本电脑,1758.0,https://item.jd.com/10044527344294.html,HUMI旗舰店,其他,8GB,其他,294
10038266364604,联想Lenovo) 拯救者15.6寸Y7000/ R9000P高刷电竞吃鸡设计游戏本二手笔记本电脑 95新I7-7700H 1050电竞游戏 R720 16G内存+512G固态,1489.0,https://item.jd.com/10038266364604.html,新茂二手电脑专营店,联想,16GB,Intel i7,604
10123772060711,HALIWEI国行2025款英特尔+酷睿i7笔记本电脑高性能金属轻薄本网课学习设计便携商务办公游戏学生手提 AI终端英特尔16pro+4K窄边全面屏蓝光级 16G...,1456.0,https://item.jd.com/10123772060711.html,HALIWEI旗舰店,其他,16GB,Intel i7,711
100074955690,荣耀MagicBook X16 战斗版国家补贴12代酷睿标压i5 16+512G 16吋高清护眼屏 轻薄本笔记本电脑,2998.0,https://item.jd.com/100074955690.html,荣耀京东自营旗舰店,荣耀,512GB,Intel i5,690
100078929100,戴睿dere国家补贴商务旗舰高性能笔记本电脑自营办公设计绘图学生网课娱乐游戏手提轻薄本 英特尔32G+1TB,1985.0,https://item.jd.com/100078929100.html,DERE戴睿京东自营旗舰店,其他,32GB,其他,100
10107959314600,联想拯救者Y9000P旗舰游戏笔记本电脑R9000P独显4060学生电竞I7高性能 Y7000 I7-11800H/RTX3050 16GB内存 | 512GB固态 店保两年 | 正品保障,3649.0,https://item.jd.com/10107959314600.html,拯救者来酷生活拼购店,联想,16GB,Intel i7,600
10132668192755,极械2025新款笔记本电脑酷睿i9+RTX4060光追独显AI编程设计大学生手提高性能轻薄本黑悟空电竞游戏本 轻薄便携AI终端酷睿i9级+4K级高清护眼屏 32G超大内存+1TB极速固态豪华大礼,1988.0,https://item.jd.com/10132668192755.html,极械旗舰店,其他,32GB,Intel i9,755
10038237747021,H&U&W国行2025新英特尔+酷睿i7笔记本电脑轻薄本大学生办公便携高性能游戏本商务设计AI标压手提本 15代14英寸英特尔IPS护眼+9D蓝光全面屏 8G内...,1030.0,https://item.jd.com/10038237747021.html,H&U&W旗舰店,其他,8GB,Intel i7,21
100046501064,惠普HP国家补贴20%锐14 AMD锐龙 14英寸轻薄笔记本电脑(六核R5-7530U 8G 512G 指纹 一年上门),2799.0,https://item.jd.com/100046501064.html,惠普HP京东自营旗舰店,惠普,8GB,Ryzen 5,64
10115537626678,HUATWAI国行2025新款英特尔酷睿i7笔记本电脑轻薄本15.6英寸高清IPS屏商务办公网课设计大学生游戏本 旗舰款全新16代英特尔Pro Book 粉色 16G大运...,1296.0,https://item.jd.com/10115537626678.html,HUATWAI旗舰店,其他,16GB,Intel i7,678
10098579987795,联想Lenovo二手笔记本电脑轻薄便携13/14/15.6英寸商务办公i5娱乐网课学习游戏设计 2联想14寸双核4G120G固态办公上网 联想lenovo 9成新,418.0,https://item.jd.com/10098579987795.html,鸿发国威二手电脑专营店,联想,4GB,Intel i5,795
10132453528796,华硕天选4/3/2游戏本笔记本电脑酷睿独显满血4060高性能轻薄学生设计 I7-10750H|1650Ti-4G|144hz 16GB内存+512GB固态可定制 正品样机|支持验机,2447.0,https://item.jd.com/10132453528796.html,玩家国度官企特惠拼购店,华硕,4GB,Intel i7,796
100157264401,玩嘉国补20% 15代屏英特尔高能独显笔记本电脑轻薄本 可选游戏办公学生 银色16G+512GB,1499.0,https://item.jd.com/100157264401.html,玩嘉电脑京东自营旗舰店,其他,16GB,其他,401
100199987214,华为MateBook D 16 Linux版 国家补贴20% 笔记本电脑 13代酷睿标压处理器 i5 16G 1T 深空灰,4299.0,https://item.jd.com/100199987214.html,华为京东自营旗舰店,华为,16GB,Intel i5,214
10053758851871,HALIWEI国行2025款英特尔+酷睿i7笔记本电脑高性能金属轻薄本网课学习设计便携商务办公游戏学生手提 轻薄款14代英特尔IPS护眼屏 32GB运存+...,2038.0,https://item.jd.com/10053758851871.html,HALIWEI旗舰店,其他,32GB,Intel i7,871
100120701667,方正笔记本电脑国家补贴20%新款轻薄本15.6英寸高清屏幕12G高性能N95大学生专用256G手提电脑办公本,1353.0,https://item.jd.com/100120701667.html,方正Founder京东自营旗舰店,其他,12GB,其他,667
10048492447611,联想(Lenovo)二手笔记本  i3 i5轻薄便携商务办公游戏超薄二手笔记本电脑 2双核T3000/4G/320G 送128G固态 现货速发 95成新,456.0,https://item.jd.com/10048492447611.html,鼎胜二手电脑专营店,联想,4GB,Intel i3,611
100111300458,荣耀笔记本 X16 锐龙版国家补贴R5-7640HS高性能 16G 512G 护眼屏16吋轻薄长续航笔记本电脑,3199.0,https://item.jd.com/100111300458.html,荣耀京东自营旗舰店,荣耀,16GB,Ryzen 5,458
